timestamp,serial,event_type,old_value,new_value,details
2026-09-13 12:41:36,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 12:42:06,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:42:07,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 12:42:07,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 12:42:38,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:43:09,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:43:40,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:44:11,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:45:13,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:45:45,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 12:45:45,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 12:46:15,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:46:16,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 12:46:16,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 12:47:48,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:48:19,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 12:48:19,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:48:49,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 12:48:49,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:49:20,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:50:54,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:51:25,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:51:56,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:52:58,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:53:29,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 12:54:31,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 12:55:02,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 12:55:32,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 12:56:03,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 12:56:34,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 12:56:35,R5CR303YMGD,BAND_CHANGED,28,20,
2026-09-13 12:56:35,R5CR303YMGD,EARFCN_CHANGED,9410,6350,
2026-09-13 13:01:45,R5CR303YMGD,PCI_CHANGED,370,64,
2026-09-13 13:02:16,R5CR303YMGD,PCI_CHANGED,64,370,
2026-09-13 13:08:29,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 13:09:00,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 13:09:31,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 13:11:05,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 13:16:16,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 13:16:47,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 13:17:18,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 13:17:49,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 13:17:50,R5CR303YMGD,BAND_CHANGED,20,28,
2026-09-13 13:17:50,R5CR303YMGD,EARFCN_CHANGED,6350,9410,
2026-09-13 13:19:54,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 13:20:25,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 13:21:58,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 13:22:29,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 13:22:30,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 13:22:30,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 13:23:01,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 13:23:01,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 13:24:33,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 13:25:04,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 13:27:41,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 13:27:41,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 13:29:15,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 13:29:15,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 13:30:17,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 13:30:48,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 13:31:50,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 13:32:21,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 13:32:21,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 13:32:51,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 13:32:52,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 13:32:52,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 13:32:52,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
